date, spx-trailing
12-01-1927,15.9099
01-01-1928,14.8898
02-01-1928,14.6271
03-01-1928,16.339
04-01-1928,15.8
05-01-1928,16.0
06-01-1928,15.312
07-01-1928,14.8321
08-01-1928,15.9313
09-01-1928,16.1374
10-01-1928,15.7101
11-01-1928,17.5942
12-01-1928,17.6449
01-01-1929,17.875
02-01-1929,17.7708
03-01-1929,17.7292
04-01-1929,17.2933
05-01-1929,16.5533
06-01-1929,18.2733
07-01-1929,18.6323
08-01-1929,20.4581
09-01-1929,19.4581
10-01-1929,15.0
11-01-1929,12.9938
12-01-1929,13.323
01-01-1930,15.7172
02-01-1930,16.0552
03-01-1930,16.6552
04-01-1930,19.3023
05-01-1930,18.9845
06-01-1930,15.8605
07-01-1930,18.7699
08-01-1930,18.9115
09-01-1930,16.4513
10-01-1930,17.4639
11-01-1930,17.0825
12-01-1930,15.8144
01-01-1931,18.2841
02-01-1931,20.375
03-01-1931,18.9659
04-01-1931,19.1013
05-01-1931,16.481
06-01-1931,18.7722
07-01-1931,19.6143
08-01-1931,19.8
09-01-1931,13.8714
10-01-1931,17.2623
11-01-1931,15.5738
12-01-1931,13.3115
01-01-1932,14.0893
02-01-1932,14.8036
03-01-1932,13.0536
04-01-1932,11.4314
05-01-1932,8.7647
06-01-1932,8.6863
07-01-1932,13.2609
08-01-1932,18.2391
09-01-1932,17.5652
10-01-1932,16.9756
11-01-1932,15.9756
12-01-1932,16.8049
01-01-1933,16.5238
02-01-1933,13.4762
03-01-1933,13.9286
04-01-1933,19.3488
05-01-1933,22.4186
06-01-1933,25.3721
07-01-1933,23.1395
08-01-1933,25.7907
09-01-1933,22.8605
10-01-1933,20.3636
11-01-1933,22.4545
12-01-1933,22.9545
01-01-1934,24.8222
02-01-1934,23.9111
03-01-1934,23.8889
04-01-1934,22.2553
05-01-1934,20.4468
06-01-1934,20.8723
07-01-1934,18.0833
08-01-1934,19.0625
09-01-1934,18.9583
10-01-1934,17.9796
11-01-1934,19.4694
12-01-1934,19.3878
01-01-1935,12.4658
02-01-1935,11.9726
03-01-1935,11.6027
04-01-1935,11.4568
05-01-1935,11.8272
06-01-1935,12.6296
07-01-1935,14.5789
08-01-1935,14.8947
09-01-1935,15.25
10-01-1935,16.3947
11-01-1935,17.0395
12-01-1935,17.6711
01-01-1936,18.1139
02-01-1936,18.4177
03-01-1936,18.8861
04-01-1936,15.6477
05-01-1936,16.3636
06-01-1936,16.8636
07-01-1936,16.8617
08-01-1936,17.0106
09-01-1936,17.0319
10-01-1936,16.8725
11-01-1936,16.9412
12-01-1936,16.8431
01-01-1937,16.0631
02-01-1937,16.2973
03-01-1937,16.1441
04-01-1937,14.0427
05-01-1937,13.8974
06-01-1937,13.1624
07-01-1937,13.918
08-01-1937,13.1475
09-01-1937,11.2787
10-01-1937,10.9381
11-01-1937,9.8319
12-01-1937,9.3363
