date,spx-equal-weighted
1-1-2007,1891.77002
2-1-2007,1935.380005
3-1-2007,1925.880005
4-1-2007,1938.52002
5-1-2007,2021.209961
6-1-2007,2084.73999
7-1-2007,2045.170044
8-1-2007,1951.369995
9-1-2007,1951.599976
10-1-2007,2006.73999
11-1-2007,2022.380005
12-1-2007,1921.780029
1-1-2008,1891.209961
2-1-2008,1805.969971
3-1-2008,1742.060059
4-1-2008,1720.680054
5-1-2008,1809.709961
6-1-2008,1854.829956
7-1-2008,1670.650024
8-1-2008,1660.829956
9-1-2008,1713.869995
10-1-2008,1530.98999
11-1-2008,1206.930054
12-1-2008,1088.630005
1-1-2009,1116.849976
2-1-2009,1026.880005
3-1-2009,908.400024
4-1-2009,1001.630005
5-1-2009,1187.579956
6-1-2009,1260.670044
7-1-2009,1246.819946
8-1-2009,1361.48999
9-1-2009,1434.630005
10-1-2009,1509.079956
11-1-2009,1455.790039
12-1-2009,1530.719971
1-1-2010,1599.579956
2-1-2010,1547.26001
3-1-2010,1610.47998
4-1-2010,1722.089966
5-1-2010,1768.869995
6-1-2010,1634.160034
7-1-2010,1530.72998
8-1-2010,1643.469971
9-1-2010,1560.880005
10-1-2010,1717.75
11-1-2010,1778.339966
12-1-2010,1790.890015
1-1-2011,1916.640015
2-1-2011,1956.530029
3-1-2011,2032.839966
4-1-2011,2047.26001
5-1-2011,2110.679932
6-1-2011,2094.72998
7-1-2011,2053.669922
8-1-2011,1979.560059
9-1-2011,1849.52002
10-1-2011,1679.23999
11-1-2011,1895.920044
12-1-2011,1879.689941
1-1-2012,1879.98999
2-1-2012,1982.400024
3-1-2012,2061.25
4-1-2012,2106.070068
5-1-2012,2088.100098
6-1-2012,1936.76001
7-1-2012,2011.219971
8-1-2012,2014.150024
9-1-2012,2070.5
10-1-2012,2119
11-1-2012,2100.330078
12-1-2012,2122
1-1-2013,2165.75
2-1-2013,2305.219971
3-1-2013,2328.129883
4-1-2013,2425.340088
5-1-2013,2462.330078
6-1-2013,2525.97998
7-1-2013,2498.669922
8-1-2013,2633.189941
9-1-2013,2557.530029
10-1-2013,2647.27002
11-1-2013,2761.469971
12-1-2013,2816.909912
1-1-2014,2890.469971
2-1-2014,2805.580078
3-1-2014,2947.590088
4-1-2014,2968.810059
5-1-2014,2973.399902
6-1-2014,3034.399902
7-1-2014,3116.949951
8-1-2014,3039.419922
9-1-2014,3165.389893
10-1-2014,3077.879883
11-1-2014,3169.72998
12-1-2014,3243.939941
1-1-2015,3258.600098
2-1-2015,3156.01001
3-1-2015,3330.290039
4-1-2015,3291.350098
5-1-2015,3313.699951
6-1-2015,3330.850098
7-1-2015,3257.159912
8-1-2015,3271.570068
9-1-2015,3065.090088
10-1-2015,2983.629883
11-1-2015,3199.110107
12-1-2015,3197.909912
1-1-2016,3088.850098
2-1-2016,2930.810059
3-1-2016,2982.159912
4-1-2016,3182.340088
5-1-2016,3231.169922
6-1-2016,3261.419922
7-1-2016,3262.110107
8-1-2016,3396.149902
9-1-2016,3398.830078
10-1-2016,3385.790039
11-1-2016,3317.370117
12-1-2016,3478.429932
1-1-2017,3532.689941
2-1-2017,3582.75
3-1-2017,3710.75
4-1-2017,3680.48999
5-1-2017,3701.449951
6-1-2017,3723.889893
7-1-2017,3769.959961
8-1-2017,3819.419922
9-1-2017,3773.639893
10-1-2017,3869.649902
11-1-2017,3925.969971
12-1-2017,4052.919922
1-1-2018,4092.209961
2-1-2018,4257.470215
3-1-2018,4077.030029
4-1-2018,4021.73999
5-1-2018,4034.840088
6-1-2018,4112.140137
7-1-2018,4102.240234
8-1-2018,4253.919922
9-1-2018,4324.339844
10-1-2018,4343.410156
11-1-2018,4024.419922
12-1-2018,4157.279785
1-1-2019,3661.929932
2-1-2019,4071.919922
3-1-2019,4237.319824
4-1-2019,4264.100098
5-1-2019,4385.660156
6-1-2019,4077.929932
7-1-2019,4419.970215
8-1-2019,4398.240234
9-1-2019,4229.97998
10-1-2019,4393.810059
11-1-2019,4433.859863
12-1-2019,4577.080078
1-1-2020,4712.509766
2-1-2020,4601.080078
3-1-2020,4179.290039
4-1-2020,3418
5-1-2020,3908.699951
6-1-2020,4082.27002
7-1-2020,4138.740234
8-1-2020,4345.990234
9-1-2020,4518.819824
10-1-2020,4396.189941
11-1-2020,4364.569824
12-1-2020,4978.620117
1-1-2021,5182.040039
2-1-2021,5135.470215
3-1-2021,5438.700195
4-1-2021,5752.060059
5-1-2021,6019.660156
6-1-2021,6125.47998
7-1-2021,6124.899902
8-1-2021,6198.339844
9-1-2021,6335.790039
10-1-2021,6085.560059
11-1-2021,6405.060059
12-1-2021,6230.859863
1-1-2022,6605.870117
2-1-2022,6313.490234
3-1-2022,6248.640137
4-1-2022,6397.740234
5-1-2022,5983.200195
6-1-2022,6031.209961
7-1-2022,5453.529785
8-1-2022,5922.75
9-1-2022,5704.399902
10-1-2022,5167.470215
11-1-2022,5668.5
12-1-2022,6035
1-1-2023,5739.529785
2-1-2023,6158.589844
3-1-2023,5944.160156
4-1-2023,5878.100098
5-1-2023,5892.419922
6-1-2023,5657.330078
7-1-2023,6081.959961
8-1-2023,6286.029785
9-1-2023,6074.359863
10-1-2023,5754.77002
11-1-2023,5514.319824
12-1-2023,6003.200195
1-1-2024,6402.890137
2-1-2024,6344.310059
2-27-2024,6533.290039
